customer_id,name,email,city,signup_date
1,James Miller,michaelmeyer@example.com,Lake Amytown,2025-03-19
2,Amber Hall,russellbaxter@example.org,Lake Tiffany,2026-03-18
3,Mary Figueroa,robertsjeremy@example.net,South Ronaldberg,2025-05-18
4,Cynthia Pittman,eward@example.net,Port Brandonport,2026-07-18
5,Dawn Long,warrenchristopher@example.org,Lake Jacobbury,2024-11-17
6,Julie Johnson,kevincarter@example.org,New Jacquelinebury,2025-05-10
7,Brandon Mitchell,tjohnson@example.com,Sancheztown,2026-01-24
8,Harold Chavez MD,scott66@example.net,North Anthony,2025-10-22
9,Lisa Carlson,qreynolds@example.org,Obrienside,2026-04-01
10,Kimberly Miller,tinawhite@example.com,Carterfurt,2026-07-02
11,Gregory Tate,unknown@example.com,Tylerside,2025-10-15
12,Justin Weber,paul50@example.net,South Saramouth,2025-07-05
13,Ernest Ramos,heathercobb@example.net,Port Rachelport,2026-03-23
14,David Huang,valenzuelakelly@example.com,Thomasville,2024-12-13
15,Jasmine Walsh,frederickbailey@example.net,Kaitlynview,2024-08-07
16,Makayla Phillips,angel11@example.com,Jerometown,2025-08-13
17,Mr. Donald Jackson,rebeccamartinez@example.net,South Hollyside,2025-05-14
18,Nicole Johnson,amanda35@example.com,Steventon,2025-08-02
19,Cassandra Rogers,jesus80@example.com,New Derrick,2024-12-21
20,Christian Cox,qbrown@example.net,Jasmineberg,2025-06-26
21,Sheri Fletcher,meyersjohn@example.com,Friedmanton,2025-09-20
22,Lori Griffin,gilbertpatrick@example.com,Port Ginamouth,2025-11-29
23,Patrick Ruiz,nicolebutler@example.org,Jeannebury,2026-05-13
24,Andre Phillips,hrodriguez@example.net,East Elizabethborough,2025-09-24
25,Oscar Smith,tburnett@example.com,West Michelle,2025-01-31
26,Kimberly Maldonado,unknown@example.com,Rojaston,2025-03-21
27,Jeffrey Mcdonald,christinawilson@example.com,Ryanmouth,2025-11-24
28,Linda Gutierrez,jherrera@example.org,Johnsonview,2024-12-24
29,Ashley Lucas,kacevedo@example.com,Lake Bradstad,2026-02-10
30,Cameron Boyd,gailhamilton@example.net,Shannonbury,2026-06-09
31,Sonya Moran,eric96@example.net,Staceyland,2025-06-13
32,Anthony Baker,qjackson@example.org,Port Benjaminfurt,2025-01-28
33,Holly Smith,riversrichard@example.org,Donaldfort,2025-05-25
34,Jessica Kelley MD,holtmichael@example.org,Davismouth,2026-04-14
35,Gary Moore,lmartinez@example.org,Ryanbury,2024-10-14
36,Regina Mcknight,davistina@example.com,North Melissa,2025-09-15
37,Angela Horton,christine28@example.com,West Hunterside,2024-12-14
38,Ruben Brown,pbooth@example.org,North Michellemouth,2024-11-22
39,Jason Kelly,sarapetersen@example.com,South Joseph,2025-07-22
40,John Thompson,diane96@example.com,New Samantha,2025-08-20
41,Christine Martinez,lodom@example.com,Lake Derekburgh,2025-04-25
42,David Curtis,michaelcook@example.net,Port Tammie,2025-05-07
43,Andrew Higgins,olopez@example.com,Rodriguezside,2025-09-10
44,Matthew Clark,sschneider@example.org,Lake Jesse,2025-08-16
45,Shane Ruiz,joanna00@example.org,Port Williamside,2024-10-31
46,Elizabeth Dixon,higginschristina@example.com,Bassfurt,2025-02-15
47,Eric Collier,tracy69@example.net,East Todd,2024-12-15
48,Deborah Ayala,michaelrobinson@example.net,Lopeztown,2026-01-15
49,Calvin Mcdonald,fostercharles@example.org,New Vincentborough,2026-03-20
50,Thomas Lopez DDS,danieltran@example.net,West Sara,2025-01-24
51,Emily Jarvis,mortiz@example.net,East Benjaminfurt,2025-07-14
52,John Barker,mezapaul@example.com,Jakeshire,2025-06-17
53,Morgan Serrano,lindsey86@example.net,Port Donnamouth,2026-07-03
54,Tyler Durham,david81@example.com,Villanuevastad,2026-04-26
55,Keith Vasquez,amycole@example.net,Port Mary,2025-01-24
56,Sara Garcia,kwalker@example.com,Kellimouth,2025-04-09
